ID,Midsem (100),T1,T2,T3,T4,T5,Best 4,Tut(80),PCT(180)
0673P,41,7,15,6,6,9,37,50,91
0938P,23,0,15,15,15,15,60,80,103
0251P,21,10,9,5,4,5,29,39,60
0141P,38,15,15,15,0,15,60,80,118
0023P,8,0,3,3,0,0,6,8,16
0566P,7,15,15,15,15,12,60,80,87
0034P,5,6,8,5,15,15,44,59,64
1234P,34,11,15,0,15,15,56,75,109
1239P,26,0,15,15,10,11,51,68,94
0841P,6,15,5,15,4,10,45,60,66
1293P,28,10,6,15,0,6,37,50,78
0234P,52,14,15,0,0,10,39,52,104
0013P,52,14,8,15,15,11,55,74,126
0389P,30,14,15,14,15,0,58,78,108
0069P,0,0,12,2,9,1,24,32,32
0507P,34,0,11,3,0,13,27,36,70
1306P,48,6,15,15,15,12,57,76,124
1729P,16,0,15,12,6,15,48,64,80
0959P,20,9,15,5,14,9,47,63,83
0077P,0,0,0,0,0,0,0,0,0
0003P,11,11.5,3,4,10,6,31.5,42,53
0156P,81,0,15,15,0,6,36,48,129
1218P,33,0,15,15,2,15,47,63,96
0451P,46,6,15,9,15,5,45,60,106
1294P,3,0,0,3,0,0,3,4,7
0146P,37,14,0,0,8,10,32,43,80
0723P,17,1,10,9,0,3,23,31,48
0798P,44,15,15,1,15,8,53,71,115
0339P,2,10,5,4,1,12,31,42,44
0166P,47,13,15,15,10,15,58,78,125
0168P,92,1,15,5,8,0,29,39,131
0546P,5,0,5,2,1,7,15,20,25
0437P,13,0,9,4,0,0,13,18,31
0355P,24,15,10.5,5,6,0,36.5,49,73
0640P,19,6,13,8,6,15,42,56,75
1287P,36,11,11,6,12,11,45,60,96
1255P,18,3,15,11,13,15,54,72,90
0216P,24,5,12,11,6,3,34,46,70
0249P,35,1,11,15,0,3,30,40,75
0868P,39,9,15,5,8,8,40,54,93
0036P,28,14,15,15,15,0,59,79,107
0397P,56,15,15,0,15,12,57,76,132
0194P,5,10,7,12,0,7,36,48,53
0855P,34,1,15,2,1,0,19,26,60
0282P,63,4,7,15,2,14,40,54,117
0508P,40,6,14,15,15,15,59,79,119
1043P,12,5,10,4,4,11,30,40,52
1734P,31,3,14,6,13,15,48,64,95
0017P,56,5,15,10,12,14,51,68,124
0140P,71,7,15,15,11,15,56,75,146
1572P,29,9,12,0,0,0,21,28,57
0085P,18,4,2,12,5,10,31,42,60
0115P,76,15,15,3,0,12,45,60,136
0063P,0,0,0,0,0,0,0,0,0
0110P,17,12,4,10,5,13,40,54,71
0170P,47,5,0,14,0,7,26,35,82
0314P,17,5,11,11,13,15,50,67,84
0620P,36,2,15,15,4,15,49,66,102
0962P,22,1,0,9,0,2,12,16,38
0564P,39,5,15,15,6,15,51,68,107
1311P,18,4,12,12,9,12,45,60,78
1598P,5,1,0,3,0,0,4,6,11
1230P,69,12,15,11,5,8,46,62,131
0049P,65,15,15,2,15,13,58,78,143
0832P,23,2,11,9,1,15,37,50,73
0599P,18,4,12,3,4,0,23,31,49
0540P,6,6,1,10,0,1,18,24,30
1245P,15,5,10,15,4,15,45,60,75
1560P,61,10,0,15,14,15,54,72,133
0445P,12,0,4,6,0,6,16,22,34
0004P,12,13,3,6,13,15,47,63,75
0100P,19,0,15,15,13,14,57,76,95
0610P,0,0,0,0,0,7,7,10,10
0462P,74,12,15,15,4,15,57,76,150
0626P,27,1,15,6,1,13,35,47,74
0651P,28,12,0,0,4,10,26,35,63
0268P,61,7,14,15,10,15,54,72,133
0831P,43,12.5,9.5,4,0,0,26,35,78
0169P,62,15,15,15,15,13,60,80,142
0945P,31,0,0,0,0,0,0,0,31
1209P,35,2,0,6,5,2,15,20,55
0247P,43,3,15,0,15,11,44,59,102
0478P,42,3,6,15,15,9,45,60,102
0615P,16,2,1,0,0,0,3,4,20
0011P,21,2,9,2,4,12,27,36,57
0586P,44,0,6,3,15,15,39,52,96
0714P,14,0,15,6,0,13,34,46,60
0902P,18,2,1,6,6,10,24,32,50
0054P,9,0,0,6,0,0,6,8,17
0096P,80,15,15,4,0,6,40,54,134
1221P,39,8,15,15,0,15,53,71,110
0083P,98,10,15,4,4,11,40,54,152
0005P,13,5,15,12,4,9,41,55,68
1205P,32,0,13,15,15,14,57,76,108
1219P,23,0,1,4,5,1,11,15,38
0738P,43,9,11,15,7,15,50,67,110
1283P,12,12,12,7,15,0,46,62,74
0611P,60,10,15,14,15,11,55,74,134
1443P,5,2,0,1,2,2,7,10,15
1595P,1,0,5,2,15,15,37,50,51
0221P,19,1,13,0,2,0,16,22,41
1276P,34,1,11,4,4,11,30,40,74
0178P,79,15,15,15,15,0,60,80,159
1226P,33,10,15,7,0,7,39,52,85
0358P,32,0,15,2,0,15,32,43,75
1224P,35,3,15,10,12,3,40,54,89
1262P,49,13,10,0,6,12,41,55,104
0020P,10,1,3,1,0,8,13,18,28
0380P,21,8.5,9,0,4,10,31.5,42,63
0204P,52,15,15,15,5,13,58,78,130
0617P,30,1,14,2,2,8,26,35,65
0955P,17,1,15,15,1,15,46,62,79
1354P,5,0,15,15,15,5,50,67,72
0313P,42,15,15,15,11,15,60,80,122
0427P,9,0,15,0,4,15,34,46,55
0143P,2,0,15,9,0,8,32,43,45
1576P,23,6,2,3,3,5,17,23,46
0243P,36,0,15,10,10,13,48,64,100
0044P,3,0,8,15,0,0,23,31,34
0742P,14,7,13,15,3,15,50,67,81
1730P,5,0,0,0,0,0,0,0,5
0896P,7,0,13,6,7,6,32,43,50
0180P,33,3,15,15,15,15,60,80,113
1173P,38,6,4,9,6,12,33,44,82
0503P,50,12,15,8,2,14,49,66,116
1176P,69,5,15,15,15,12,57,76,145
0322P,8,1,0,2,1,3,7,10,18
1292P,32,14,15,15,15,15,60,80,112
0014P,24,2,9,4,4,11,28,38,62
0248P,62,7,15,14,15,10,54,72,134
0429P,43,12,13,15,3,9,49,66,109
0457P,28,0,14,0,2,6,22,30,58
0376P,32,2,15,10,4,15,44,59,91
1177P,13,10,11,6,13,13,47,63,76
0475P,47,3,9,12,8,12,41,55,102
1200P,49,10,13,15,15,13,56,75,124
1263P,72,6,1,8,11,4,29,39,111
1207P,67,11,10,4,5,6,32,43,110
0215P,40,12.5,4,0,4,12,32.5,44,84
0419P,28,15,15,15,4,12,57,76,104
1227P,24,1,15,12,0,11,39,52,76
1571P,25,0,2,0,7,0,9,12,37
0160P,57,6,13,7,4,0,30,40,97
0254P,15,13,7,15,1,1,36,48,63
0190P,9,0,10,7,10,4,31,42,51
0725P,10,0,0,0,1,0,1,2,12
0128P,56,4,0,0,7,5,16,22,78
0969P,47,3,7.5,15,1,1,26.5,36,83
0057P,32,15,15,15,0,15,60,80,112
0558P,54,4,0,15,15,15,49,66,120
1244P,50,15,13,15,15,5,58,78,128
1267P,14,7,15,15,4,15,52,70,84
0091P,73,11,15,15,4,1,45,60,133
0502P,20,0,15,15,6,14,50,67,87
0144P,53,15,15,8,15,15,60,80,133
1339P,7,5,15,0,12,0,32,43,50
0147P,67,10.5,15,15,14,15,59,79,146
1291P,31,5,15,11,5,6,37,50,81
0031P,15,6,0,0,1,0,7,10,25
0075P,21,7,2,15,15,15,52,70,91
0174P,78,15,15,15,15,15,60,80,158
0305P,54,13,15,11,10,15,54,72,126
0327P,44,14,15,10,1,15,54,72,116
0498P,38,14,13,11,15,13,55,74,112
0412P,17,2,15,6,5,12,38,51,68
1353P,8,0,1,6,4,0,11,15,23
0329P,40,2,15,14,15,10,54,72,112
0183P,53,5,13,0,15,11,44,59,112
0092P,0,0,0,0,0,0,0,0,0
0448P,30,7,3,15,13,11,46,62,92
1264P,32,1,14,14,4,3,35,47,79
1260P,33,7,15,12,6,15,49,66,99
1192P,49,0,15,5,11,15,46,62,111
0784P,6,2,2,2,4,8,16,22,28
0109P,0,0,0,3,0,3,6,8,8
0572P,25,4.5,2,3,0,1,10.5,14,39
0066P,0,0,0,3,5,0,8,11,11
1217P,14,0,15,6,0,15,36,48,62
1462P,2,1,7,1,2,8,18,24,26
1215P,51,15,5,15,9,1,44,59,110
0107P,2,0,15,12,0,14,41,55,57
0539P,49,3,3,3,4,0,13,18,67
1174P,49,15,8,8,13,15,51,68,117
0824P,9,14,3,15,15,15,59,79,88
0053P,4,0,0,4,4,1,9,12,16
0703P,36,6.5,2,14,6,15,41.5,56,92
0591P,18,0,7,4,1,11,23,31,49
0781P,29,12,10,1,3,11,36,48,77
0266P,81,15,15,12,4,15,57,76,157
0323P,62,15,15,15,15,13,60,80,142
0363P,42,15,2,4,5,15,39,52,94
0177P,75,10,13,12,13,10,48,64,139
0226P,58,5,15,7,0,15,42,56,114
1208P,12,4,4,10,11,12,37,50,62
1261P,34,0,13,15,7,15,50,67,101
0567P,42,15,15,15,0,10,55,74,116
0500P,10,0,15,0,0,0,15,20,30
0561P,63,5,15,11,6,15,47,63,126
1270P,14,5,15,6,1,1,27,36,50
1222P,15,15,15,15,12,10,57,76,91
0159P,69,0,5,0,2,15,22,30,99
1179P,0,0,3,0,0,1,4,6,6
0097P,84,0,15,10,15,13,53,71,155
1277P,21,7,13.5,6,3,6,32.5,44,65
0070P,77,12,15,15,15,13,58,78,155
0253P,91,14,15,7,15,12,56,75,166
0384P,48,13,13,5,13,6,45,60,108
0120P,6,6,11,15,15,0,47,63,69
0157P,25,2,0,13,0,7,22,30,55
1565P,23,0,2,4,2,,8,11,34
0410P,24,7,14,15,15,15,59,79,103
0684P,24,3,10,15,13,3,41,55,79
1463P,2,0,0,0,0,0,0,0,2
0076P,0,4,0,0,7,10,21,28,28
1184P,11,0,14,6,4,0,24,32,43
0119P,38,15,15,15,12,15,60,80,118
1330P,5,0,0,0,1,0,1,2,7
1056P,15,0,14,7,2,13,36,48,63
0473P,49,0,5,0,15,0,20,27,76
1196P,34,13,15,15,4,12,55,74,108
0911P,13,10,1,4,4,1,19,26,39
0975P,18,1,6,6,3,7,22,30,48
0136P,2,0,5,6,4,9,24,32,34
0138P,56,11,15,15,15,15,60,80,136
0649P,18,15,15,8,12,13,55,74,92
0326P,39,8,15,5,4,1,32,43,82
1596P,22,12,14,9,13,7,48,64,86
0749P,18,1,9,4,4,2,19,26,44
1610P,29,0,11,4,5,2,22,30,59
0973P,18,15,15,0,15,12,57,76,94
0074P,39,9,0,1,15,9,34,46,85
0222P,60,15,14,15,15,11,59,79,139
0441P,22,6,12,9,11,1,38,51,73
1228P,46,10,15,15,4,15,55,74,120
0716P,5,3,9,5,2,15,32,43,48
1213P,14,0,5,2,0,10,17,23,37
0185P,9,0,0,0,0,2,2,3,12
0203P,80,15,2,10,15,9,49,66,146
0218P,23,5,15,6,6,0,32,43,66
0088P,29,15,12,15,15,15,60,80,109
1252P,56,0,9,15,15,13,52,70,126
1212P,50,6,15,13,6,15,49,66,116
1229P,27,15,4,15,15,15,60,80,107
0189P,2,0,0,0,5,0,5,7,9
1162P,5,9,2,3,3,5,20,27,32
0378P,27,5,11,3,5,8,29,39,66
1211P,39,6,15,15,2,0,38,51,90
0080P,69,10,14,13,0,11,48,64,133
0081P,71,9,15,15,4,6,45,60,131
0450P,49,9,2,0,0,0,11,15,64
0073P,9,0,2,0,0,0,2,3,12
0219P,58,0,7,8,14,7,36,48,106
0595P,43,14,14,5,6,2,39,52,95
1465P,2,0,0,0,0,0,0,0,2
0173P,71,15,14,7,15,9,53,71,142
1258P,39,5,15,15,12,15,57,76,115
0982P,0,0,11,4,15,12,42,56,56
1214P,30,15,4,15,7,15,52,70,100
0068P,8,7,12,3,3,4,26,35,43
0515P,16,14,15,15,4,12,56,75,91
0481P,0,0,11,15,4,11,41,55,55
1171P,70,1,6,7,4,15,32,43,113
1183P,3,6,6,1,1,2,15,20,23
0387P,49,12,15,8,15,3,50,67,116
0454P,29,13,15,12,7,11,51,68,97
0467P,11,2,0,6,2,1,11,15,26
1563P,33,12,12,15,7,11,50,67,100
0025P,29,15,15,11,15,14,59,79,108
0504P,39,1,14.5,10,10,6,40.5,54,93
1022P,38,10,11,7,4,11,39,52,90
1126P,11,0,15,0,14,13,42,56,67
0492P,41,5,15,8,0,15,43,58,99
0015P,12,5,8,10,10,4,33,44,56
0292P,48,8.5,15,6,15,2,44.5,60,108
0897P,21,6,3,4,3,0,16,22,43
0078P,86,10,15,15,11,15,56,75,161
1325P,14,0,0,0,0,0,0,0,14
0523P,61,9.5,14,6,12,15,50.5,68,129
0926P,30,10,13,15,12,15,55,74,104
0318P,38,1,15,0,0,12,28,38,76
0676P,2,1,1,15,0,0,17,23,25
0153P,75,15,15,14,0,4,48,64,139
0255P,3,0,2,2,0,4,8,11,14
1220P,42,13,15,15,15,1,58,78,120
0377P,17,2,9,1,4,5,20,27,44
0114P,19,0.5,0,0,4,0,4.5,6,25
0947P,43,0,15,0,0,13,28,38,81
0134P,57,0,5,15,15,12,47,63,120
0026P,8,8,0,5,0,3,16,22,30
0056P,63,12,13,15,15,15,58,78,141
0052P,76,4,15,5,6,0,30,40,116
0042P,5,15,13,10,9,4,47,63,68
0449P,15,3.5,9,15,13,11,48,64,79
0082P,34,10,13,15,15,15,58,78,112
1275P,27,9,15,10,9,15,49,66,93
1210P,43,4,0,6,0,15,25,34,77
0019P,5,2,2,3,5,1,12,16,21
0021P,1,0,6,12,9,6,33,44,45
0895P,9,3,10,2,1,0,16,22,31
1307P,23,2,0,10,15,15,42,56,79
0403P,1,2,0,0,0,0,2,3,4
0493P,40,0,3,7,5,8,23,31,71
0055P,61,8,15,10,4,15,48,64,125
0150P,48,10,15,15,4,15,55,74,122
0131P,0,0,0,0,0,0,0,0,0
0402P,34,6,8,5,15,11,40,54,88
0211P,5,0,0,3,4,7,14,19,24
0483P,49,9,15,15,15,15,60,80,129
0006P,16,5,6,6,1,12,29,39,55
1719P,17,0,15,0,3,2,20,27,44
0795P,11,0,2,3,0,1,6,8,19
0133P,45,10,15,15,15,15,60,80,125
0392P,56,14,13,15,15,7,57,76,132
0465P,37,4,14,15,15,15,59,79,116
0154P,42,15,15,11,15,0,56,75,117
0883P,23,0,4,13,3,5,25,34,57
0145P,98,15,14,15,15,0,59,79,177
0422P,26,5,15,0,2,0,22,30,56
0132P,68,11,15,15,6,12,53,71,139
0124P,92,15,15,15,15,0,60,80,172
0593P,21,10,15,10,2,4,39,52,73
0430P,59,5,13,4,4,1,26,35,94
0957P,13,0.5,0,0,2,0,2.5,4,17
0543P,20,2,10,4,0,12,28,38,58
0364P,36,0,0,2,4,10,16,22,58
1194P,54,15,15,15,0,15,60,80,134
1069P,4,1.5,6,4,0,0,11.5,16,20
0466P,33,9,13.5,15,11,15,54.5,73,106
0037P,10,0,15,2,4,10,31,42,52
1170P,52,13,11,14,0,11,49,66,118
0590P,40,6,8,12,2,15,41,55,95
2011P,0,0,0,0,0,0,0,0,0
0992P,46,4,9,8,3,0,24,32,78
0087P,80,8,15,3,15,4,42,56,136
0965P,13,0,15,2,4,12,33,44,57
1447P,5,0,4,0,1,0,5,7,12
1197P,38,1.5,0,0,1,0,2.5,4,42
0171P,44,4,12,4,4,0,24,32,76
0084P,69,12,14,8,15,15,56,75,144
1104P,44,7,15,15,10,15,55,74,118
1562P,17,5,4,0,0,15,24,32,49
1254P,15,14,,15,5,15,44,59,74
0661P,7,0,0,0,0,8,8,11,18
0406P,33,11,14,10,0,5,40,54,87
0942P,3,8,15,12,12,5,47,63,66
1168P,1,2,11,0,7,15,35,47,48
1223P,19,4,5,10,4,12,31,42,61
1731P,43,2,3,4,10,8,25,34,77
1188P,98,12,15,10,7,11,48,64,162
0394P,20,1,8,8,6,4,26,35,55
0158P,55,13,15,15,15,11,58,78,133
0240P,66,0,15,15,11,15,56,75,141
0116P,75,0,0,0,5,0,5,7,82
0187P,67,12,15,11,15,15,57,76,143
0941P,35,14,8,6,15,11,48,64,99
1195P,13,6,14,11,12,8,45,60,73
0182P,7,7,5,0,4,1,17,23,30
0511P,4,0,0,0,0,0,0,0,4
0184P,26,0.5,0,0,0,6,6.5,9,35
0321P,45,12,13,12,15,12,52,70,115
0792P,28,4,13.5,5,14,8,40.5,54,82
1189P,73,9,14,15,8,11,49,66,139
0051P,0,0,0,0,0,0,0,0,0
0010P,9,8,12,5,1,7,32,43,52
0217P,38,11,0,0,1,0,12,16,54
1278P,40,13,15,15,15,15,60,80,120
0257P,31,1,14,4,1,0,20,27,58
1203P,28,9,15,15,0,0,39,52,80
1295P,27,11,10,7,1,0,29,39,66
0165P,56,14,15,12,15,15,59,79,135
0207P,72,7,15,14,6,3,42,56,128
0244P,58,0,11,15,8,13,47,63,121
0250P,0,1,10,0,1,0,12,16,16
1001P,22,2,10,11,7,15,43,58,80
0587P,19,3,0,15,12,11,41,55,74
0903P,13,12,15,6,8,15,50,67,80
1216P,55,7,14.5,15,2,2,38.5,52,107
0946P,5,1,0,4,3,12,20,27,32
0260P,85,15,15,7,15,13,58,78,163
0702P,20,0,3,4,0,0,7,10,30
1578P,9,1,10,15,2,12,39,52,61
0545P,0,0,0,10,0,0,10,14,14
1256P,25,5,15,15,11,11,52,70,95
0027P,2,0,2,0,0,0,2,3,5
1191P,45,15,15,5,5,1,40,54,99
0843P,40,15,15,15,0,15,60,80,120
0557P,30,5,15,4,7,4,31,42,72
0102P,24,2,15,9,0,13,39,52,76
1057P,14,0,0,0,0,0,0,0,14
0235P,16,2,15,0,1,8,26,35,51
1695P,17,14,5,8,4,15,42,56,73
0538P,36,0,13,4,0,15,32,43,79
0098P,33,0,15,6,15,13,49,66,99
0808P,12,8,8,0,15,15,46,62,74
0871P,17,1,0,0,0,0,1,2,19
0357P,11,15,15,2,4,12,46,62,73
0619P,42,15,9,4,15,15,54,72,114
0252P,11,4,0,4,6,5,19,26,37
0065P,20,15,0,5,5,9,34,46,66
0089P,93,12,14,11,15,6,52,70,163
0479P,42,9,15,8,1,15,47,63,105
0708P,13,0,8,4,0.5,3,15.5,21,34
1199P,4,7,4,3,0,15,29,39,43
0231P,53,15,11,11,12,11,49,66,119
0241P,76,15,15,8,1,12,50,67,143
0175P,72,14,14,14,1,15,57,76,148
0948P,33,7,0,1,1,0,9,12,45
0123P,18,14,10,9,13,15,52,70,88
0086P,56,15,15,15,15,9,60,80,136
0209P,16,2,1,5,5,14,26,35,51
0155P,21,3,0,6,1,0,10,14,35
1172P,0,0,0,0,0,9,9,12,12
0408P,53,1,13,12,13,12,50,67,120
1631P,14,0,0,0,0,0,0,0,14
0431P,7,2,15,15,15,13,58,78,85
0372P,56,12,8,5,15,5,40,54,110
0009P,86,14,15,15,4,15,59,79,165
1667P,8,2,7,6,6,15,34,46,54
0067P,0,0,0,0,0,2,2,3,3
1181P,39,8,15,4,4,1,31,42,81
0719P,32,0,15,5,15,15,50,67,99
1225P,38,11,11,15,15,11,52,70,108
0697P,34,8,15,15,0,12,50,67,101
0924P,11,9,15,10,8,5,42,56,67
0660P,12,7,15,0,0,15,37,50,62
0510P,2,0,0,0,0,0,0,0,2
1448P,2,2,3,3,3,15,24,32,34
0103P,52,3,10,15,10,1,38,51,103
0198P,72,15,14,15,11,15,59,79,151
0456P,47,0,15,9,2,8,34,46,93
0126P,48,0,13,15,5,4,37,50,98
0311P,56,15,10,15,5,15,55,74,130
1568P,27,0,15,0,6,10,31,42,69
0925P,0,0,5,0,11,0,16,22,22
0643P,31,1,15,7,12,15,49,66,97
1231P,40,3,15,0,15,12,45,60,100
0984P,13,1,11,7,5,0,24,32,45
0900P,12,2,8,3,2,1,15,20,32
1322P,32,11,0,2,12,8,33,44,76
1236P,48,11,13,8,4,0,36,48,96
1327P,14,1,1,2,0,3,7,10,24
1281P,41,4,6,0,0,8,18,24,65
1365P,0,0,0,0,4,1,5,7,7
0172P,73,10,15,11,14,7,50,67,140
0210P,56,11,13,12,15,4,51,68,124
1099P,26,0,12,15,4,12,43,58,84
0258P,27,15,11,9,7,9,44,59,86
0694P,37,15,15,15,15,11,60,80,117
1451P,0,1.5,9.5,0,0,0,11,15,15
1253P,0,1,9,0,1,0,11,15,15
0953P,33,0,12,13,0,0,25,34,67
0747P,50,9,15,2,15,15,54,72,122
1615P,15,2,11,0,1,15,29,39,54
1187P,56,15,3,8,12,14,49,66,122
0921P,13,9,15,0,0,10,34,46,59
1241P,62,0,15,6,4,11,36,48,110
1134P,30,12,7,9,2,6,34,46,76
1573P,18,0,4,0,6,15,25,34,52
1248P,26,1,15,15,7,6,43,58,84
1250P,5,0,0,2,0,1,3,4,9
1296P,28,0,13,13,0,2,28,38,66
1454P,3,0,0,0,0,6,6,8,11
0360P,49,0,13,10,4,15,42,56,105
0366P,16,15,12,15,4,9,51,68,84
0121P,5,1,1,1,1,0,4,6,11
0899P,42,14,15,2,4,15,48,64,106
1284P,39,4,14,8,2,1,28,38,77
1720P,15,0,8,15,3,9,35,47,62
0035P,3,5,0,7,12,15,39,52,55
0331P,39,1,15,5,1,13,34,46,85
1198P,69,4,15,2,14,10,43,58,127
0047P,58,5,15,15,4,3,39,52,110
1668P,17,0,15,15,2,0,32,43,60
1666P,26,1,10,15,1,12,38,51,77
1332P,23,2,3,5,11,7,26,35,58
0444P,27,4,0,4,6,0,14,19,46
1204P,80,5,7,8,2,13,33,44,124
0094P,72,10,3,12,11,9,42,56,128
1732P,29,0,15,15,1,15,46,62,91
0007P,14,1,12,0,15,14,42,56,70
1273P,43,0,0,9,0,0,9,12,55
1238P,51,2,15,15,15,13,58,78,129
1597P,33,0,0,0,0,0,0,0,33
0485P,62,0,0,5,1,0,6,8,70
1342P,12,4,14,13,6,0,37,50,62
0669P,31,4,7,0,0,6,17,23,54
0001P,37,12,1,4,12,13,41,55,92
0045P,100,15,14,14,15,14,58,78,178
0093P,58,15,8,15,15,13,58,78,136
1567P,0,0,0,0,0,0,0,0,0
0915P,9,1,0,2,0,0,3,4,13
0033P,10,3,10,12,3,2,28,38,48
1243P,30,10,0,15,2,11,38,51,81
0458P,46,13,15,9,7,4,44,59,105
0111P,61,9,11,15,15,0,50,67,128
0214P,44,0,8,15,11,15,49,66,110
0012P,26,12,15,15,1,15,57,76,102
0142P,32,0,15,15,15,15,60,80,112
0578P,26,8,9,6,3,15,38,51,77
0447P,42,14.5,14.5,0,1,0,30,40,82
1235P,40,11,15,5,15,15,56,75,115
0827P,16,1,11,0,5,0,17,23,39
1175P,86,12,15,15,1,15,57,76,162
1075P,45,11,11,8,14,14,50,67,112
0526P,11,12,10,10,0.5,11,43,58,69
1115P,6,0,15,0,4,0,19,26,32
1340P,25,15,15,15,15,15,60,80,105
0624P,38,0,15,15,0,10,40,54,92
0256P,25,2,9,15,8,15,47,63,88
0381P,3,0,0,2,1,0,3,4,7
0058P,0,0,0,0,0,0,0,0,0
0675P,31,1,8,7,4,12,31,42,73
1279P,17,3,5,14,6,1,28,38,55
0137P,29,12,15,13,13,13,54,72,101
0748P,34,11,15,11,0.5,15,52,70,104
0583P,15,7,10,11,7,6,35,47,62
1328P,34,12,11,15,12,15,54,72,106
0223P,2,0,0,0,0,0,0,0,2
0782P,28,10,15,15,12,0,52,70,98
0118P,76,15,15,15,15,15,60,80,156
0105P,4,5,7,0,1,6,19,26,30
0344P,47,10.5,8.5,3,4,2,26,35,82
0490P,30,2,15,15,4,12,46,62,92
0589P,36,14,5,15,15,15,59,79,115
0125P,23,15,7,12,1,9,43,58,81
0806P,31,6,14.5,3,9,13,42.5,57,88
0300P,6,8,0,12,4,5,29,39,45
0195P,84,0,13,6,0,15,34,46,130
0424P,13,13,11,15,11,15,54,72,85
0418P,93,14,15,15,0,8,52,70,163
0041P,3,11,14,4,0,5,34,46,49
0135P,14,0.5,0,0,0,0,0.5,1,15
0405P,45,1,15,15,5,15,50,67,112
0528P,27,15,15,7,0,15,52,70,97
0347P,15,0,0,0,10,6,16,22,37
1343P,6,2,12,0,4,8,26,35,41
0164P,62,15,15,15,15,15,60,80,142
0375P,20,0,15,8,8,0,31,42,62
1178P,13,2,15,2,4,15,36,48,61
0774P,29,10,15,15,15,10,55,74,103
1180P,27,2,15,15,5,15,50,67,94
1182P,87,15,15,14,15,0,59,79,166
0622P,56,2,5,6,2,0,15,20,76
0079P,6,0,15,10,0,14,39,52,58
0471P,61,15,15,10,15,8,55,74,135
0113P,90,13,15,12,15,15,58,78,168
0232P,67,0,0,2,15,15,32,43,110
1301P,48,3,8,0,3,15,29,39,87
0016P,35,15,13,5,8,15,51,68,103
1186P,62,15,15,9,15,15,60,80,142
0820P,19,8,15,15,4,15,53,71,90
1232P,29,0,0,2,3,8,13,18,47
0028P,15,0,2,0,10,0,12,16,31
0425P,34,3,15,0,15,13,46,62,96
0130P,3,0,7,4,0,1,12,16,19
1733P,11,2,15,12,0,15,44,59,70
1206P,36,3,8,1,9,11,31,42,78
1289P,35,3,7,10,9,12,38,51,86
0484P,52,6,2,14,1,1,23,31,83
1249P,18,1,15,9,6,15,45,60,78
1316P,19,0,2,0,0,0,2,3,22
0148P,8,7,8,2,2,0,19,26,34
0420P,33,14,15,12,0,14,55,74,107
0152P,60,15,15,15,13,6,58,78,138
0680P,14,3,5,8,1,1,17,23,37
0264P,28,7,14,14,6,9,44,59,87
0530P,17,4,1,4,1,7,16,22,39
1149P,30,10,9,3,6,3,28,38,68
0634P,17,0,11,5,9,0,25,34,51
1265P,40,0.5,0,3,2,7,12.5,17,57
0919P,26,5.5,15,15,14,15,59,79,105
0556P,58,12,13,7,15,15,55,74,132
1233P,24,5,12,15,15,15,57,76,100
1240P,20,8,9,15,12,1,44,59,79
0476P,37,2,7,12,0.5,2,23,31,68
1272P,22,12,10,15,3,1,40,54,76
0008P,34,15,15,8,15,15,60,80,114
0106P,0,0,1,2,1,1,5,7,7
0570P,29,13,0,15,15,15,58,78,107
0022P,1,0,11,4,0,11,26,35,36
1040P,24,1,8,4,1,0,14,19,43
1351P,4,0,6,0,11,5,22,30,34
0455P,68,11,7,12,4,11,41,55,123
